Addr,Lat,Lon
"A 102, Purva Sunshine,Sarjapur Road,nan,Bangalore,Karnataka,560035",12.9152657,77.6766244
"S7, Smaran Vaibhav,Gangadhar Apt,Vijayangar,Bangalore,Karnataka,560040",12.9750093,77.5340774
"B 402,ISR Sukriti Apts,Varthur,Bangalore,Karnataka,560087",12.9352761,77.7482034
"28, 5th B Cross,Kodihalli,HAL 2nd Stage,Bangalore,Karnataka,560008",12.9615965,77.6453843
"1900-06-04 00:00:00,Ambedkar Colony, Attibele,Anekal,Bangalore,Karnataka,562107",12.7768295,77.7740037
"19, Flat No 1,10th Cross, RBI Colony, Anand nagar,nan,Bangalore,Karnataka,560024",13.0295121,77.5907536
"19, Flat No 1,10th Cross, RBI Colony, Anand nagar,nan,Bangalore,Karnataka,560024",13.0295121,77.5907536
"1900-01-03 00:00:00,Omkar Nilayam, Near Gangamma Temple,KR Puram,Bengaluru,Karnataka,560036",13.0152667,77.6963981
"#3, Ananda Nilayam,Malleshwaram,19th Cross,Bengaluru,Karnataka,560055",13.0094947,77.5652862
"41, 5th cross,22nd main,JP nagar,Bengaluru,Karnataka,560078",12.9505251,77.5946904
"1900-07-03 00:00:00,3rd Cross,Cambridge Layout,Halasuru,Bengaluru,Karnataka,560008",12.9694163,77.6265358
"1900-01-23 00:00:00,7th Cross, 3rd Main,Rk Nagar, JP Nagar, 6th Phase,Bengaluru,Karnataka,560078",12.8979226,77.5673873
"1820/11,C Block, Shankara Nagar,nan,Bengaluru,Karnataka,560092",13.063193,77.586285
"AI,Sraddha Fairfield,1st Cross road,Rustam Bagh Layout,Bengaluru,Karnataka,560017",12.9550673,77.6490056
"47,7th cr.,BSK II stage,-,Bangalore,Karnataka,560070",12.9383463,77.5367731
"1900-02-16 00:00:00,BSK II stage,-,Bangalore,Karnataka,560070",12.9248711,77.5662406
"108/68,6th main road,Jayanagar,Bangalore,Karnataka,560041",12.9219456,77.5810676
"#114,1st Cross road,R.S Palya,M.S.Nagar Post,Bengaluru,Karnataka,560033",13.0087207,77.6417086
"#976,27th 'A' Main,9th Block Jayanagar,Bengaluru,Karnataka,560069",12.9194787,77.5948444
"Althens- Z- 004,Prestige Acropolis,Koramongala,Bengalore,Karnataka,560068",12.9356251,77.610489
